"","metroCode","numberAgent"
"1","743",5
"2","745",2
"3","747",0
"4","606",0
"5","630",52
"6","691",34
"7","698",3
"8","686",9
"9","522",0
"10","711",0
"11","524",7
"12","673",0
"13","693",27
"14","670",19
"15","640",1
"16","734",0
"17","612",1
"18","619",0
"19","628",1
"20","789",78
"21","753",405
"22","790",0
"23","771",0
"24","803",2040
"25","807",3533
"26","862",143
"27","866",17
"28","825",1039
"29","868",5
"30","828",38
"31","802",1
"32","855",43
"33","800",7
"34","811",8
"35","804",13
"36","813",0
"37","751",659
"38","752",27
"39","773",5
"40","533",322
"41","501",338
"42","511",1865
"43","504",228
"44","576",35
"45","592",29
"46","534",149
"47","656",2
"48","539",155
"49","571",54
"50","561",40
"51","548",148
"52","528",196
"53","530",23
"54","503",7
"55","525",1
"56","507",18
"57","520",2
"58","567",4
"59","575",21
"60","744",42
"61","679",68
"62","631",1
"63","637",32
"64","624",3
"65","682",5
"66","652",5
"67","611",2
"68","717",0
"69","725",2
"70","758",10
"71","881",3
"72","757",62
"73","760",2
"74","770",2
"75","609",13
"76","602",2143
"77","649",0
"78","648",35
"79","610",15
"80","632",3
"81","581",4
"82","675",46
"83","588",12
"84","527",336
"85","509",33
"86","515",27
"87","529",3
"88","582",13
"89","678",11
"90","605",9
"91","603",0
"92","616",90
"93","722",0
"94","671",0
"95","638",0
"96","557",71
"97","659",1
"98","541",48
"99","564",3
"100","736",2
"101","531",0
"102","642",16
"103","716",47
"104","644",1
"105","622",59
"106","643",2
"107","506",1356
"108","521",45
"109","532",273
"110","543",29
"111","512",280
"112","508",7
"113","500",35
"114","537",3
"115","552",1
"116","547",0
"117","540",15
"118","563",79
"119","513",60
"120","505",633
"121","583",2
"122","553",2
"123","551",30
"124","658",0
"125","676",64
"126","724",1
"127","613",887
"128","702",5
"129","737",0
"130","604",15
"131","710",1
"132","718",12
"133","647",0
"134","746",1
"135","756",3
"136","754",4
"137","762",10
"138","766",3
"139","687",1
"140","755",0
"141","764",0
"142","798",0
"143","560",377
"144","518",73
"145","544",2
"146","517",201
"147","545",12
"148","550",23
"149","570",1
"150","759",0
"151","740",0
"152","523",12
"153","765",3
"154","634",0
"155","839",99
"156","565",33
"157","502",37
"158","514",54
"159","549",0
"160","555",59
"161","538",139
"162","526",4
"163","535",128
"164","510",556
"165","542",62
"166","554",0
"167","536",10
"168","597",0
"169","558",1
"170","596",0
"171","657",1
"172","650",82
"173","627",3
"174","810",0
"175","820",373
"176","801",35
"177","821",8
"178","574",12
"179","566",53
"180","516",15
"181","577",26
"182","519",27
"183","546",27
"184","639",1
"185","651",12
"186","662",1
"187","623",928
"188","636",2
"189","709",11
"190","600",5
"191","618",1105
"192","633",3
"193","641",105
"194","635",609
"195","625",18
"196","692",6
"197","626",4
"198","661",1
"199","749",1
"200","573",27
"201","556",94
"202","559",5
"203","569",5
"204","584",30
"205","819",759
"206","705",3
"207","669",126
"208","617",256
"209","598",1
"210","767",2
